dcs_rnd3_366|Partida se joacă pe stadionul Emil Alexandrescu din Iași|Partida se joacă pe stadionul Emil Alexandrescu din Iași
dcs_rnd3_367|Mai mult nu vreau să comentez a opinat acesta|Mai mult nu vreau să comentez a opinat acesta
dcs_rnd3_368|S-a petrecut de ziua orașului Oradea|S-a petrecut de ziua orașului Oradea
dcs_rnd3_369|Acum fiecare, își face treaba cum poate mai bine mai spune frizerul|Acum fiecare, își face treaba cum poate mai bine mai spune frizerul
dcs_rnd3_370|A fost lovit la cap, iar picioarele îi erau fracturate|A fost lovit la cap, iar picioarele îi erau fracturate
dcs_rnd3_371|Petrecerea va avea loc în club Seven Sins din Piața Centrală|Petrecerea va avea loc în club Seven Sins din Piața Centrală
dcs_rnd3_372|Prima clădire a ansambului arhitectural datează de la începutul secolului optsprezece|Prima clădire a ansambului arhitectural datează de la începutul secolului optsprezece
dcs_rnd3_373|Pericolul imens era ca întreaga economie să se prăbușească|Pericolul imens era ca întreaga economie să se prăbușească
dcs_rnd3_374|Nu suntem nici două sute, nici drogați|Nu suntem nici două sute, nici drogați
dcs_rnd3_375|Bilanțul accidentului a fost unul tragic|Bilanțul accidentului a fost unul tragic
dcs_rnd3_376|Romgaz a mai strâns o dată robinetul către cet, pe unu septembrie|Romgaz a mai strâns o dată robinetul către cet, pe unu septembrie
dcs_rnd3_377|A declarat Mihai Stoichiță într-o conferință de presă|A declarat Mihai Stoichiță într-o conferință de presă
dcs_rnd3_378|Nu mi-am putut imagina că e atât de alterată|Nu mi-am putut imagina că e atât de alterată
dcs_rnd3_379|Vin din proprie inițiativă|Vin din proprie inițiativă
dcs_rnd3_380|Și am povestit tot ce am văzut|Și am povestit tot ce am văzut
dcs_rnd3_381|Platforma de pe u ve te monitorizează și nivelul radiațiilor solare|Platforma de pe u ve te monitorizează și nivelul radiațiilor solare
dcs_rnd3_382|Mi-ar fi plăcut să lucrez în domeniul arhitecturii, însă nu am reușit|Mi-ar fi plăcut să lucrez în domeniul arhitecturii, însă nu am reușit
dcs_rnd3_383|Un alt copac bătrân se află pe malul Dâmboviței, lângă podul Cotroceni|Un alt copac bătrân se află pe malul Dâmboviței, lângă podul Cotroceni
dcs_rnd3_384|Piața s-a înscris pe un trend crescător încă din deschidere|Piața s-a înscris pe un trend crescător încă din deschidere
dcs_rnd3_385|Acesta va fi amplasat în parcul din portul turistic|Acesta va fi amplasat în parcul din portul turistic
dcs_rnd3_386|Fetița a primit la școală manuale|Fetița a primit la școală manuale
dcs_rnd3_387|Din meniul zilnic al beneficiarilor nu lipsește carnea|Din meniul zilnic al beneficiarilor nu lipsește carnea
dcs_rnd3_388|Am avut probleme foarte mari|Am avut probleme foarte mari
dcs_rnd3_389|Un motor bun ajunge și la șapte sute de euro|Un motor bun ajunge și la șapte sute de euro
dcs_rnd3_390|Pe ecrane se perindau mai ales miniștri, prim miniștri, șefi de partid|Pe ecrane se perindau mai ales miniștri, prim miniștri, șefi de partid
dcs_rnd3_391|Pe marginea acestei partide s-a discutat destul de mult|Pe marginea acestei partide s-a discutat destul de mult
dcs_rnd3_392|Parcă nici nu-mi vine să cred|Parcă nici nu-mi vine să cred
dcs_rnd3_393|Fiecare cameră dispune de grup sanitar în cameră|Fiecare cameră dispune de grup sanitar în cameră
dcs_rnd3_394|Este o curățenie impecabilă, iar oamenii sunt foarte politicoși a afirmat medicul|Este o curățenie impecabilă, iar oamenii sunt foarte politicoși a afirmat medicul
dcs_rnd3_395|Primul client al polițiștilor a fost și primul sancționat|Primul client al polițiștilor a fost și primul sancționat
dcs_rnd3_396|Mă bucur că am câștigat, a fost o victorie muncită|Mă bucur că am câștigat, a fost o victorie muncită
dcs_rnd3_397|Deocamdată nu se cunoaște valoarea prejudiciului|Deocamdată nu se cunoaște valoarea prejudiciului
dcs_rnd3_398|Returul este programat la doi decembrie, la Timișoara|Returul este programat la doi decembrie, la Timișoara
dcs_rnd3_399|Nu se știe dacă voi antrena în România|Nu se știe dacă voi antrena în România
dcs_rnd3_400|Mijlocașul a fost transferat săptămâna trecută, de formația pregătită de Petre Grigoraș|Mijlocașul a fost transferat săptămâna trecută, de formația pregătită de Petre Grigoraș
dcs_rnd3_401|M-au sunat și colegii și profesorii să mă felicite|M-au sunat și colegii și profesorii să mă felicite
dcs_rnd3_402|Dubarbier Cluj expediază primul șut pe poartă|Dubarbier Cluj expediază primul șut pe poartă
dcs_rnd3_403|Tinerii vin în bar doar seara și în weekend|Tinerii vin în bar doar seara și în weekend
dcs_rnd3_404|Lumea internetului a adus și o nouă forță estetică|Lumea internetului a adus și o nouă forță estetică
dcs_rnd3_405|După mine, totul arată jalnic|După mine, totul arată jalnic
dcs_rnd3_406|Am reușit să cumpăr volumul pictori|Am reușit să cumpăr volumul pictori
dcs_rnd3_407|Cred că au fost afectați că au luat șapte goluri|Cred că au fost afectați că au luat șapte goluri
dcs_rnd3_408|Profesoara de engleză a dat două sute cincizeci de lei|Profesoara de engleză a dat două sute cincizeci de lei
dcs_rnd3_409|Băieții sunt pregătiți psihic pentru un meci tare|Băieții sunt pregătiți psihic pentru un meci tare
dcs_rnd3_410|Evident, niște miniștri au răsuflat ușurați|Evident, niște miniștri au răsuflat ușurați
dcs_rnd3_411|Dacă îți place, poti să îți formezi și îndemânarea|Dacă îți place, poti să îți formezi și îndemânarea
dcs_rnd3_412|Noi trebuie să luptăm pentru locuri fruntașe în clasament|Noi trebuie să luptăm pentru locuri fruntașe în clasament
dcs_rnd3_413|Doar optsprezece crescători de animale din județ au depus dosarele de subvenție|Doar optsprezece crescători de animale din județ au depus dosarele de subvenție
dcs_rnd3_414|Foarte mulți oameni ne mulțumesc după ce îi ajutăm|Foarte mulți oameni ne mulțumesc după ce îi ajutăm
dcs_rnd3_415|Orașul e un amalgam de detoate, ca să spun așa|Orașul e un amalgam de detoate, ca să spun așa
dcs_rnd3_416|Punem această situație și pe seama crizei|Punem această situație și pe seama crizei
dcs_rnd3_417|Pe alte chitanțe sumele de bani erau șterse și scrise alte cifre|Pe alte chitanțe sumele de bani erau șterse și scrise alte cifre
dcs_rnd3_418|Tamaș spune că eforturile au meritat însă practic|Tamaș spune că eforturile au meritat însă practic
dcs_rnd3_419|Cine vrea ceva cu adevărat, toata viața trudește|Cine vrea ceva cu adevărat, toata viața trudește
dcs_rnd3_420|Am câștigat calificările și acum voi pleca din pole position|Am câștigat calificările și acum voi pleca din pole position
dcs_rnd3_421|Turcia s-a opus includerii ge de ef, gigantul francez al gazelor în proiectul Nabucco|Turcia s-a opus includerii ge de ef, gigantul francez al gazelor în proiectul Nabucco
dcs_rnd3_422|În an de criză, solistul de la Simplu a dat lovitura|În an de criză, solistul de la Simplu a dat lovitura
dcs_rnd3_423|Ar fi o propunere pentru o altă coaliție|Ar fi o propunere pentru o altă coaliție
dcs_rnd3_424|Înnebunise o țară întreagă cu infracțiunile comise și nepedepsite|Înnebunise o țară întreagă cu infracțiunile comise și nepedepsite
dcs_rnd3_425|Încă nu realizez ce s-a întâmplat|Încă nu realizez ce s-a întâmplat
dcs_rnd3_426|Cristi Tănase va juca maximum o repriză cu fe ce me Bacău|Cristi Tănase va juca maximum o repriză cu fe ce me Bacău
dcs_rnd3_427|Deci vă dați seama cum umblă vorba aiurea prin oraș explică aceasta|Deci vă dați seama cum umblă vorba aiurea prin oraș explică aceasta
dcs_rnd3_428|Administrarea multivitaminelor în cazul persoanelor sănătoase, duce la apariția hipervitaminozelor|Administrarea multivitaminelor în cazul persoanelor sănătoase, duce la apariția hipervitaminozelor
dcs_rnd3_429|Prejudiciul este de peste unu virgulă nouă milioane de lei|Prejudiciul este de peste unu virgulă nouă milioane de lei
dcs_rnd3_430|Singura bucurie a femeii suferinde era Eugen, unicul fiu|Singura bucurie a femeii suferinde era Eugen, unicul fiu
dcs_rnd3_431|În condițiile în care regulamentul nu permite decât doi jucători extracomunitari|În condițiile în care regulamentul nu permite decât doi jucători extracomunitari
dcs_rnd3_432|Vă spun sincer, era mult mai bine cu un guvern de tehnicieni|Vă spun sincer, era mult mai bine cu un guvern de tehnicieni
dcs_rnd3_433|Profesorul Dan Dungaciu este expert în spațiul ex sovietic|Profesorul Dan Dungaciu este expert în spațiul ex sovietic
dcs_rnd3_434|Mureș, la ieșirea din orașul Dumbrăveni|Mureș, la ieșirea din orașul Dumbrăveni
dcs_rnd3_435|Nu aici, la clădirea de birouri, e problema|Nu aici, la clădirea de birouri, e problema
dcs_rnd3_436|Este o certitudine pentru toate serviciile noastre secrete|Este o certitudine pentru toate serviciile noastre secrete
dcs_rnd3_437|Îmi place mâncarea bună, mai ales laptele, brânza și dulciurile|Îmi place mâncarea bună, mai ales laptele, brânza și dulciurile
dcs_rnd3_438|Comunicarea cu părinții copiilor de grădiniță, este foarte importantă susține Elena Vișan|Comunicarea cu părinții copiilor de grădiniță, este foarte importantă susține Elena Vișan
dcs_rnd3_439|Nu toți taurii însă se pot ridica la un anumit nivel|Nu toți taurii însă se pot ridica la un anumit nivel
dcs_rnd3_440|Sunt o persoană care trăiește în prezent, nu în viitor|Sunt o persoană care trăiește în prezent, nu în viitor
dcs_rnd3_441|Existau informații despre această persoană|Existau informații despre această persoană
dcs_rnd3_442|Furnizarea apei va fi sistată|Furnizarea apei va fi sistată
dcs_rnd3_443|La noi de asta se ocupă decanatul facultăților|La noi de asta se ocupă decanatul facultăților
dcs_rnd3_444|A fost o persoană reprezentativă pentru regimul comunist|A fost o persoană reprezentativă pentru regimul comunist
dcs_rnd3_445|Alt domeniu ar fi turismul|Alt domeniu ar fi turismul
dcs_rnd3_446|La prima vedere, episodul e paralel cu lumea politică|La prima vedere, episodul e paralel cu lumea politică
dcs_rnd3_447|Dacă nu pierzi, este chiar o performanță|Dacă nu pierzi, este chiar o performanță
dcs_rnd3_448|Trebuie să facem ceva deosebit, pentru că ei sunt mai buni|Trebuie să facem ceva deosebit, pentru că ei sunt mai buni
dcs_rnd3_449|Mă lupt încă cu fosta securitate|Mă lupt încă cu fosta securitate
dcs_rnd3_450|Din bani o să luăm tot rechizite|Din bani o să luăm tot rechizite
dcs_rnd3_451|Tânărul primește marfa din Italia și Franța|Tânărul primește marfa din Italia și Franța
dcs_rnd3_452|Suporterii adevărați se văd mai ales la greu|Suporterii adevărați se văd mai ales la greu
dcs_rnd3_453|Scriam și în numele fetelor și ele erau printre cliente|Scriam și în numele fetelor și ele erau printre cliente
dcs_rnd3_454|Tatăl ei lucra în fostul combinat siderurgic, iar familia l-a urmat|Tatăl ei lucra în fostul combinat siderurgic, iar familia l-a urmat
dcs_rnd3_455|Nu regret nimic din toată cariera mea de jucător profesionist|Nu regret nimic din toată cariera mea de jucător profesionist
dcs_rnd3_456|Rudele criminalului spun că acesta rupea toate rețetele și arunca pastilele prescrise|Rudele criminalului spun că acesta rupea toate rețetele și arunca pastilele prescrise
dcs_rnd3_457|Acest lucru nu s-a mai întâmplat niciodată|Acest lucru nu s-a mai întâmplat niciodată
dcs_rnd3_458|Prețurile vor crește cu nouă la sută|Prețurile vor crește cu nouă la sută
dcs_rnd3_459|Presa din Italia a făcut publice fotografiile de la eveniment|Presa din Italia a făcut publice fotografiile de la eveniment
dcs_rnd3_460|Va fi și administratorul prezent la discuții|Va fi și administratorul prezent la discuții
dcs_rnd3_461|A fost pus de primar ca să mă instige|A fost pus de primar ca să mă instige
dcs_rnd3_462|Nu știam nici dacă e bine, nici dacă e rău|Nu știam nici dacă e bine, nici dacă e rău
dcs_rnd3_463|Eu am lucrat mulți ani la serviciul de lansare|Eu am lucrat mulți ani la serviciul de lansare
dcs_rnd3_464|Meritam un egal după cum s-a jucat|Meritam un egal după cum s-a jucat
dcs_rnd3_465|Ne-am fi pregătit la fel dacă jucam sau nu|Ne-am fi pregătit la fel dacă jucam sau nu
dcs_rnd3_466|Algocalmin, paracetamol sau aspirină sunt singurele tablete existente în dulăpioarele cabinetelor|Algocalmin, paracetamol sau aspirină sunt singurele tablete existente în dulăpioarele cabinetelor
dcs_rnd3_467|Sportivul locuiește în Spania, dar activează la clubul Steaua|Sportivul locuiește în Spania, dar activează la clubul Steaua
dcs_rnd3_468|Însă amintirile au și un alt rol|Însă amintirile au și un alt rol
dcs_rnd3_469|Dar cel mai experimentat din acest punct de vedere este maftei|Dar cel mai experimentat din acest punct de vedere este maftei
dcs_rnd3_470|Canada a anunțat la rândul ei că boicotează discursul|Canada a anunțat la rândul ei că boicotează discursul
dcs_rnd3_471|În cauză s-a întocmit dosar penal|În cauză s-a întocmit dosar penal
dcs_rnd3_472|Ne dezvăluie una dintre rețetele pentru dulcețurile pregătite pentru sezonul rece|Ne dezvăluie una dintre rețetele pentru dulcețurile pregătite pentru sezonul rece
dcs_rnd3_473|Acum, negociază pentru achiziționarea unei a doua mori, afacerile luând amploare|Acum, negociază pentru achiziționarea unei a doua mori, afacerile luând amploare
dcs_rnd3_474|Am zis să fie ceva care să ne reprezinte|Am zis să fie ceva care să ne reprezinte
dcs_rnd3_475|Cosmin recunoaște că, deși pare simplă, deplasarea cu skate-ul necesită ceva antrenament|Cosmin recunoaște că, deși pare simplă, deplasarea cu skate-ul necesită ceva antrenament
dcs_rnd3_476|Mă simțeam de parcă eram în Ungaria, aveam nevoie de translator|Mă simțeam de parcă eram în Ungaria, aveam nevoie de translator
dcs_rnd3_477|Așa că vom ajunge la sfârșitul anului cu cincizeci de miliarde|Așa că vom ajunge la sfârșitul anului cu cincizeci de miliarde
dcs_rnd3_478|Atacantul din republica Moldova îi ia locul lui Cristi Constantin|Atacantul din republica Moldova îi ia locul lui Cristi Constantin
dcs_rnd3_479|Nu este o rușine să copiezi|Nu este o rușine să copiezi
dcs_rnd3_480|Mihail Stănculescu a apelat și el la acest sistem|Mihail Stănculescu a apelat și el la acest sistem
dcs_rnd3_481|Acesta se referă însă doar la proprietățile din capitală|Acesta se referă însă doar la proprietățile din capitală
dcs_rnd3_482|Raportul nu absolvă Rusia de responsabilitatea sa în acest conflict|Raportul nu absolvă Rusia de responsabilitatea sa în acest conflict
dcs_rnd3_483|Comisia de disciplină a hotărât vinovații|Comisia de disciplină a hotărât vinovații
dcs_rnd3_484|Dosarul a ajuns la parchetul de pe lângă judecătoria Oradea|Dosarul a ajuns la parchetul de pe lângă judecătoria Oradea
dcs_rnd3_485|Autoturismul a fost proiectat în celălalt picior al podului|Autoturismul a fost proiectat în celălalt picior al podului
dcs_rnd3_486|Astfel ar apărea competiții între școli și între profesori|Astfel ar apărea competiții între școli și între profesori
dcs_rnd3_487|Atunci a jucat rolul personajului negativ Mișu Felecan|Atunci a jucat rolul personajului negativ Mișu Felecan
